Model,Horizon,MSE,RMSE,MAE,MAPE%
LSTM,1,0.0009955951221149871,0.031553052500748434,0.021504109402476285,5.331375550548974
SimpleRNN,1,0.0025920702526500933,0.05091237818694088,0.033029452974300474,8.405307638123109
LSTM,5,0.0004524252315441389,0.021270289879175105,0.01602061017573662,4.468935720670013
SimpleRNN,5,0.0004816433113393526,0.021946373535036548,0.016374351686809226,4.272047138859982
LSTM,10,0.0004282932726080077,0.020695247585085993,0.015119159249856495,4.142195933145669
SimpleRNN,10,0.0008922290544757342,0.02987020345554637,0.020887681766046145,5.405740340091803
